time, ID, MOSI, CMD, MISO, STATE
0,0,0x20|0x0C,CMD :W_REGISTER - 0x00-CONFIG,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68183132,1,0x21|0x00,CMD :W_REGISTER - 0x01-EN_AA,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68190052,2,0x22|0x3F,CMD :W_REGISTER - 0x02-EN_RXADDR,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68196064,3,0x23|0x03,CMD :W_REGISTER - 0x03-SETUP_AW,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68202076,4,0x24|0xFF,CMD :W_REGISTER - 0x04-SETUP_RETR,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68208084,5,0x25|0x08,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68215008,6,0x26|0x05,CMD :W_REGISTER - 0x06-RF_SETUP,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68221016,7,0x27|0x70,CMD :W_REGISTER - 0x07-STATUS,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68227028,8,0x28|0x00,CMD :W_REGISTER - 0x08-OBSERVE_TX,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.6823304,9,0x29|0x00,CMD :W_REGISTER - 0x09-CD,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68239964,10,0x2C|0xC3,CMD :W_REGISTER - 0x0C-RX_ADDR_P2,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68245976,11,0x2D|0xC4,CMD :W_REGISTER - 0x0D-RX_ADDR_P3,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68251988,12,0x2E|0xC5,CMD :W_REGISTER - 0x0E-RX_ADDR_P4,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68258004,13,0x2F|0xC6,CMD :W_REGISTER - 0x0F-RX_ADDR_P5,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68264924,14,0x31|0x10,CMD :W_REGISTER - 0x11-RX_PW_P0,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68270936,15,0x32|0x10,CMD :W_REGISTER - 0x12-RX_PW_P1,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68276948,16,0x33|0x10,CMD :W_REGISTER - 0x13-RX_PW_P2,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.6828296,17,0x34|0x10,CMD :W_REGISTER - 0x14-RX_PW_P3,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.6828988,18,0x35|0x10,CMD :W_REGISTER - 0x15-RX_PW_P4,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68295896,19,0x36|0x10,CMD :W_REGISTER - 0x16-RX_PW_P5,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68301908,20,0x37|0x00,CMD :W_REGISTER - 0x17-FIFO_STATUS,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68307548,21,0x2A|0x6D|0x6A|0x73|0x73|0x73,CMD :W_REGISTER - 0x0A-RX_ADDR_P0,0x0E|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68327296,22,0x2B|0x6A|0x6D|0x37|0x37|0x37,CMD :W_REGISTER - 0x0B-RX_ADDR_P1,0x0E|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68347044,23,0x30|0x6D|0x6A|0x73|0x73|0x73,CMD :W_REGISTER - 0x10-TX_ADDR,0x0E|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68366664,24,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
0.68372372,25,0x50|0x53,CMD :ACTIVATE,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.68378224,26,0x20|0x40|0x4B|0x01|0xE2,CMD :W_REGISTER - 0x00-CONFIG,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68396096,27,0x21|0xC0|0x4B|0x00|0x00,CMD :W_REGISTER - 0x01-EN_AA,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68413972,28,0x22|0xD0|0xFC|0x8C|0x02,CMD :W_REGISTER - 0x02-EN_RXADDR,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68430936,29,0x23|0xF9|0x00|0x39|0x21,CMD :W_REGISTER - 0x03-SETUP_AW,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68448808,30,0x24|0xC1|0x96|0x9A|0x1B,CMD :W_REGISTER - 0x04-SETUP_RETR,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.6846668,31,0x25|0x24|0x06|0x7F|0xA6,CMD :W_REGISTER - 0x05-RF_CH,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68483644,32,0x26|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x06-RF_SETUP,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.6850166,33,0x27|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x07-STATUS,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
